Group,Replicate,Frame,Channel,Intensity_Max
water,1,0,Ch1,4039.3823529411766
water,1,0,Ch2,800.9117647058823
water,1,1,Ch1,5824.685714285714
water,1,1,Ch2,1017.0571428571428
water,1,2,Ch1,6567.205882352941
water,1,2,Ch2,1099.0294117647059
water,1,3,Ch1,6285.090909090909
water,1,3,Ch2,1300.1818181818182
water,1,4,Ch1,6339.0
water,1,4,Ch2,2038.34375
water,1,5,Ch1,6441.5
water,1,5,Ch2,3834.09375
water,1,6,Ch1,6664.28125
water,1,6,Ch2,5518.5625
water,1,7,Ch1,6919.433333333333
water,1,7,Ch2,6996.533333333334
water,1,8,Ch1,7016.806451612903
water,1,8,Ch2,7684.129032258064
water,1,9,Ch1,7440.0344827586205
water,1,9,Ch2,8462.551724137931
water,1,10,Ch1,7528.222222222223
water,1,10,Ch2,8751.703703703704
water,1,11,Ch1,7667.407407407408
water,1,11,Ch2,8808.333333333334
water,1,12,Ch1,7794.214285714285
water,1,12,Ch2,8925.642857142857
water,1,13,Ch1,7732.551724137931
water,1,13,Ch2,8810.655172413793
water,1,14,Ch1,7820.466666666666
water,1,14,Ch2,8616.366666666667
water,1,15,Ch1,7789.4
water,1,15,Ch2,8671.633333333333
water,1,16,Ch1,7535.068965517241
water,1,16,Ch2,8321.48275862069
water,1,17,Ch1,7131.172413793103
water,1,17,Ch2,7749.827586206897
water,1,18,Ch1,6699.285714285715
water,1,18,Ch2,7896.571428571428
water,2,0,Ch1,3896.5833333333335
water,2,0,Ch2,935.1666666666666
water,2,1,Ch1,4732.0
water,2,1,Ch2,1033.6666666666667
water,2,2,Ch1,4715.243243243243
water,2,2,Ch2,1183.6756756756756
water,2,3,Ch1,4678.0
water,2,3,Ch2,1344.8648648648648
water,2,4,Ch1,4738.513513513513
water,2,4,Ch2,2086.0
water,2,5,Ch1,4777.0
water,2,5,Ch2,3798.324324324324
water,2,6,Ch1,4795.6578947368425
water,2,6,Ch2,5448.131578947368
water,2,7,Ch1,4905.026315789473
water,2,7,Ch2,6757.315789473684
water,2,8,Ch1,4811.540540540541
water,2,8,Ch2,7664.72972972973
water,2,9,Ch1,4774.777777777777
water,2,9,Ch2,8128.722222222223
water,2,10,Ch1,4870.277777777777
water,2,10,Ch2,8485.305555555555
water,2,11,Ch1,4971.75
water,2,11,Ch2,8361.694444444445
water,2,12,Ch1,5222.472222222223
water,2,12,Ch2,8789.75
water,2,13,Ch1,5513.64705882353
water,2,13,Ch2,8521.35294117647
water,2,14,Ch1,5755.363636363636
water,2,14,Ch2,8505.575757575758
water,2,15,Ch1,5888.545454545455
water,2,15,Ch2,8223.09090909091
water,2,16,Ch1,5853.424242424242
water,2,16,Ch2,8289.515151515152
water,2,17,Ch1,5674.606060606061
water,2,17,Ch2,8121.242424242424
water,2,18,Ch1,5708.294117647059
water,2,18,Ch2,8208.35294117647
water,3,0,Ch1,3126.212121212121
water,3,0,Ch2,949.030303030303
water,3,1,Ch1,4656.805555555556
water,3,1,Ch2,1063.3055555555557
water,3,2,Ch1,5366.030303030303
water,3,2,Ch2,1239.3030303030303
water,3,3,Ch1,5131.909090909091
water,3,3,Ch2,1384.3333333333333
water,3,4,Ch1,5155.727272727273
water,3,4,Ch2,1789.6969696969697
water,3,5,Ch1,5108.294117647059
water,3,5,Ch2,3052.264705882353
water,3,6,Ch1,5035.4
water,3,6,Ch2,5499.857142857143
water,3,7,Ch1,4967.714285714285
water,3,7,Ch2,7795.5142857142855
water,3,8,Ch1,4890.111111111111
water,3,8,Ch2,9144.861111111111
water,3,9,Ch1,4857.4324324324325
water,3,9,Ch2,9439.702702702703
water,3,10,Ch1,4821.405405405405
water,3,10,Ch2,9794.702702702703
water,3,11,Ch1,4761.189189189189
water,3,11,Ch2,9833.54054054054
water,3,12,Ch1,4933.243243243243
water,3,12,Ch2,10028.27027027027
water,3,13,Ch1,4997.8421052631575
water,3,13,Ch2,9972.657894736842
water,3,14,Ch1,4947.675675675676
water,3,14,Ch2,10029.216216216217
water,3,15,Ch1,5081.216216216216
water,3,15,Ch2,9869.72972972973
water,3,16,Ch1,5210.421052631579
water,3,16,Ch2,9642.236842105263
water,3,17,Ch1,5279.210526315789
water,3,17,Ch2,9645.763157894737
water,3,18,Ch1,5345.378378378378
water,3,18,Ch2,9406.108108108108
XL413,1,0,Ch1,6408.862068965517
XL413,1,0,Ch2,718.9310344827586
XL413,1,1,Ch1,7326.258064516129
XL413,1,1,Ch2,1033.774193548387
XL413,1,2,Ch1,7706.866666666667
XL413,1,2,Ch2,1563.0666666666666
XL413,1,3,Ch1,7469.620689655172
XL413,1,3,Ch2,2150.7586206896553
XL413,1,4,Ch1,7419.814814814815
XL413,1,4,Ch2,2217.8888888888887
XL413,1,5,Ch1,7166.620689655172
XL413,1,5,Ch2,2345.551724137931
XL413,1,6,Ch1,7055.793103448276
XL413,1,6,Ch2,2459.4827586206898
XL413,1,7,Ch1,6824.931034482759
XL413,1,7,Ch2,2331.9655172413795
XL413,1,8,Ch1,6596.321428571428
XL413,1,8,Ch2,2256.785714285714
XL413,1,9,Ch1,6357.103448275862
XL413,1,9,Ch2,2243.551724137931
XL413,1,10,Ch1,6215.967741935484
XL413,1,10,Ch2,2330.0967741935483
XL413,1,11,Ch1,6168.967741935484
XL413,1,11,Ch2,2285.6451612903224
XL413,1,12,Ch1,6050.354838709677
XL413,1,12,Ch2,2389.967741935484
XL413,1,13,Ch1,6380.806451612903
XL413,1,13,Ch2,2586.3548387096776
XL413,1,14,Ch1,6531.129032258064
XL413,1,14,Ch2,2721.5806451612902
XL413,1,15,Ch1,6782.5
XL413,1,15,Ch2,2996.9333333333334
XL413,1,16,Ch1,6938.933333333333
XL413,1,16,Ch2,3279.633333333333
XL413,1,17,Ch1,6942.933333333333
XL413,1,17,Ch2,3282.2
XL413,1,18,Ch1,6711.7
XL413,1,18,Ch2,3262.4333333333334
XL413,2,0,Ch1,5177.969696969697
XL413,2,0,Ch2,810.939393939394
XL413,2,1,Ch1,5814.114285714286
XL413,2,1,Ch2,1101.0285714285715
XL413,2,2,Ch1,6086.527777777777
XL413,2,2,Ch2,1784.5277777777778
XL413,2,3,Ch1,6204.285714285715
XL413,2,3,Ch2,2660.3142857142857
XL413,2,4,Ch1,6268.242424242424
XL413,2,4,Ch2,3150.3030303030305
XL413,2,5,Ch1,6192.605263157895
XL413,2,5,Ch2,3513.9210526315787
XL413,2,6,Ch1,5969.243243243243
XL413,2,6,Ch2,3798.5135135135133
XL413,2,7,Ch1,5927.027027027027
XL413,2,7,Ch2,3822.324324324324
XL413,2,8,Ch1,5568.589743589743
XL413,2,8,Ch2,3862.230769230769
XL413,2,9,Ch1,5402.081081081081
XL413,2,9,Ch2,3625.054054054054
XL413,2,10,Ch1,5433.542857142857
XL413,2,10,Ch2,3806.5142857142855
XL413,2,11,Ch1,5482.970588235294
XL413,2,11,Ch2,3651.3823529411766
XL413,2,12,Ch1,5559.25
XL413,2,12,Ch2,3913.027777777778
XL413,2,13,Ch1,5483.257142857143
XL413,2,13,Ch2,4065.1428571428573
XL413,2,14,Ch1,5584.416666666667
XL413,2,14,Ch2,4280.666666666667
XL413,2,15,Ch1,5537.083333333333
XL413,2,15,Ch2,4416.194444444444
XL413,2,16,Ch1,5348.472222222223
XL413,2,16,Ch2,4453.694444444444
XL413,2,17,Ch1,5394.828571428571
XL413,2,17,Ch2,4598.028571428571
XL413,2,18,Ch1,5230.363636363636
XL413,2,18,Ch2,4184.242424242424
XL413,3,0,Ch1,4809.3125
XL413,3,0,Ch2,736.59375
XL413,3,1,Ch1,5688.4473684210525
XL413,3,1,Ch2,910.6578947368421
XL413,3,2,Ch1,5921.4473684210525
XL413,3,2,Ch2,1292.2894736842106
XL413,3,3,Ch1,5905.763157894737
XL413,3,3,Ch2,1803.4736842105262
XL413,3,4,Ch1,5770.763157894737
XL413,3,4,Ch2,2440.1052631578946
XL413,3,5,Ch1,5735.666666666667
XL413,3,5,Ch2,2902.4871794871797
XL413,3,6,Ch1,5666.864864864865
XL413,3,6,Ch2,3075.135135135135
XL413,3,7,Ch1,5593.459459459459
XL413,3,7,Ch2,3029.810810810811
XL413,3,8,Ch1,5510.722222222223
XL413,3,8,Ch2,2972.777777777778
XL413,3,9,Ch1,5329.314285714286
XL413,3,9,Ch2,2731.542857142857
XL413,3,10,Ch1,5186.305555555556
XL413,3,10,Ch2,2713.5555555555557
XL413,3,11,Ch1,5155.055555555556
XL413,3,11,Ch2,2733.8611111111113
XL413,3,12,Ch1,5212.027777777777
XL413,3,12,Ch2,2838.972222222222
XL413,3,13,Ch1,5379.0
XL413,3,13,Ch2,3137.8285714285716
XL413,3,14,Ch1,5543.727272727273
XL413,3,14,Ch2,3551.6969696969695
XL413,3,15,Ch1,5444.96875
XL413,3,15,Ch2,3485.59375
XL413,3,16,Ch1,5368.575757575758
XL413,3,16,Ch2,3738.030303030303
XL413,3,17,Ch1,5343.71875
XL413,3,17,Ch2,3472.5
XL413,3,18,Ch1,5005.59375
XL413,3,18,Ch2,3132.375
